Location,Area,Bedrooms,Bathrooms,Age,Floor,Parking,Furnished,AmenitiesScore,Price
Uppal,1522,3,3,23,14,2,Unfurnished,6,7011784
Manikonda,614,1,2,6,14,2,Semi-Furnished,5,3877066
Jubilee Hills,1809,3,3,22,15,0,Semi-Furnished,9,16130547
Madhapur,1707,3,3,8,6,1,Furnished,7,15493372
Secunderabad,806,2,3,24,19,1,Semi-Furnished,10,5865970
Narsingi,2000,3,3,14,10,2,Semi-Furnished,1,13873151
Secunderabad,1069,2,2,6,5,1,Unfurnished,4,8392892
Gachibowli,1815,3,3,11,0,2,Unfurnished,9,15418436
Kompally,2104,4,5,6,0,1,Furnished,10,13902835
LB Nagar,1366,2,2,21,19,1,Semi-Furnished,3,6414119
Banjara Hills,918,2,3,27,23,0,Semi-Furnished,3,8588956
LB Nagar,1204,3,3,9,21,2,Unfurnished,1,5687708
Dilsukhnagar,2875,5,6,1,3,1,Unfurnished,8,17648583
Madhapur,2393,4,4,29,10,0,Furnished,8,21514052
Shamshabad,2927,5,6,18,4,2,Semi-Furnished,3,14496805
Ameerpet,2143,4,4,12,14,2,Semi-Furnished,3,12394628
Miyapur,1283,2,2,28,21,1,Unfurnished,6,6741978
Dilsukhnagar,1672,3,3,18,3,1,Semi-Furnished,9,9786674
Kokapet,1675,3,3,23,19,2,Unfurnished,8,12217362
Jubilee Hills,1952,4,4,21,22,1,Furnished,6,18247725
Begumpet,1492,3,3,9,8,1,Semi-Furnished,5,9941095
Shamshabad,992,2,2,17,18,1,Unfurnished,5,4812348
Uppal,2229,4,4,6,16,1,Furnished,10,11724018
Kompally,975,2,3,0,7,1,Semi-Furnished,3,6393971
Dilsukhnagar,1429,3,4,4,24,1,Furnished,4,8763496
Shamshabad,1547,3,3,22,1,1,Semi-Furnished,2,7034867
Secunderabad,738,2,3,28,24,1,Unfurnished,9,5640723
Kokapet,1179,2,3,5,9,1,Unfurnished,4,8479714
Madhapur,1064,2,2,27,0,1,Furnished,9,9930812
Miyapur,2734,5,6,3,1,1,Semi-Furnished,10,16490628
Manikonda,1786,4,4,1,6,1,Furnished,6,10852842
Manikonda,1166,2,3,24,12,1,Furnished,4,6480438
Financial District,1436,3,3,19,21,0,Semi-Furnished,9,14876242
Begumpet,2109,4,4,29,16,1,Unfurnished,8,14341234
Kompally,1214,2,2,3,5,1,Furnished,5,7082206
Financial District,634,2,2,6,21,0,Semi-Furnished,3,5954010
Banjara Hills,1820,4,5,27,24,1,Unfurnished,3,15794902
Ameerpet,396,1,1,6,16,2,Semi-Furnished,10,2955087
Madhapur,1546,3,3,15,7,1,Unfurnished,8,12591195
Manikonda,1231,2,2,12,9,1,Unfurnished,1,6744368
Jubilee Hills,2257,4,5,15,19,1,Semi-Furnished,5,20659529
Begumpet,2100,4,5,14,0,1,Semi-Furnished,6,14205110
Madhapur,300,1,1,29,20,1,Furnished,4,2944102
Kokapet,799,1,1,29,21,1,Semi-Furnished,5,5658633
Kondapur,670,1,1,29,17,1,Unfurnished,10,4604399
Manikonda,1353,2,3,23,11,0,Furnished,10,8092367
Kukatpally,1645,3,3,28,9,2,Semi-Furnished,10,12449705
Financial District,313,1,1,23,8,0,Semi-Furnished,6,2784593
Kokapet,2256,4,4,11,20,2,Semi-Furnished,8,16835902
Kondapur,1454,3,4,12,6,1,Semi-Furnished,6,10897408
Kompally,1248,2,2,22,9,2,Semi-Furnished,10,7513635
Kokapet,2059,4,5,25,11,0,Unfurnished,9,13970832
Miyapur,1778,3,4,23,11,1,Furnished,6,9633013
Kondapur,2161,4,4,7,23,1,Semi-Furnished,9,16989919
Ameerpet,1223,2,2,1,11,1,Furnished,4,7769668
Secunderabad,1557,3,4,8,20,1,Semi-Furnished,9,12179494
Manikonda,1418,2,2,5,8,2,Semi-Furnished,6,8460836
Financial District,1393,2,2,2,17,1,Unfurnished,8,12061946
Gachibowli,1271,2,2,22,11,2,Semi-Furnished,6,10048850
Dilsukhnagar,1769,3,3,12,5,2,Semi-Furnished,3,10145146
Secunderabad,831,2,2,15,4,1,Furnished,10,6070052
Uppal,1174,3,3,0,3,2,Semi-Furnished,7,6202621
Shamshabad,2302,4,4,4,19,1,Unfurnished,6,10202099
Hitech City,559,2,3,12,2,1,Semi-Furnished,4,5320536
Kompally,1112,2,3,9,11,1,Semi-Furnished,8,6502283
Manikonda,950,2,3,18,22,2,Furnished,9,6335851
Gachibowli,2370,4,4,7,16,1,Semi-Furnished,5,22504187
Kukatpally,1288,2,3,21,0,2,Unfurnished,6,9428662
LB Nagar,1131,2,3,11,4,0,Semi-Furnished,10,5492312
Dilsukhnagar,1018,2,3,1,3,1,Unfurnished,1,6240370
Secunderabad,2337,4,4,21,5,0,Semi-Furnished,6,16184128
Narsingi,1299,2,3,4,11,1,Furnished,2,10274443
Gachibowli,1206,3,4,20,4,1,Semi-Furnished,8,9988199
Secunderabad,1719,3,3,14,20,1,Semi-Furnished,5,12249380
Begumpet,1084,2,2,11,0,1,Semi-Furnished,8,8258895
Ameerpet,1751,3,3,22,11,1,Furnished,1,10270737
Kompally,1679,3,4,26,22,2,Unfurnished,9,9189619
Shamshabad,1307,3,3,15,8,1,Unfurnished,2,5737599
Uppal,2009,4,4,4,8,0,Unfurnished,3,9422648
Gachibowli,1811,4,4,22,1,2,Semi-Furnished,3,13691227
Financial District,1433,2,3,12,10,1,Semi-Furnished,6,13595444
Banjara Hills,1793,3,3,9,7,1,Semi-Furnished,9,16452857
Begumpet,2150,4,4,7,5,2,Unfurnished,5,14824857
Banjara Hills,2287,4,4,24,6,1,Semi-Furnished,10,20615359
Banjara Hills,1698,3,4,18,9,1,Furnished,10,16644369
LB Nagar,1609,3,3,23,4,2,Semi-Furnished,10,8748795
Dilsukhnagar,1649,3,4,1,1,1,Semi-Furnished,4,10105106
Manikonda,2846,5,5,17,13,0,Unfurnished,4,14802207
Jubilee Hills,1067,1,1,16,18,1,Unfurnished,1,9033046
Kokapet,1633,3,3,1,0,1,Semi-Furnished,2,11575094
Begumpet,325,1,1,8,9,1,Furnished,1,2435832
Dilsukhnagar,1497,3,4,7,4,2,Unfurnished,10,8962456
Manikonda,1667,3,4,28,4,2,Furnished,8,10412935
Jubilee Hills,1181,2,2,24,16,1,Semi-Furnished,8,10822132
Begumpet,1137,2,2,27,1,0,Unfurnished,5,7316013
Kompally,1523,3,3,18,11,1,Unfurnished,3,8430370
Kondapur,851,2,2,21,16,1,Furnished,10,6671838
Gachibowli,1091,2,2,14,20,2,Unfurnished,4,8884790
Ameerpet,2146,4,5,16,14,1,Unfurnished,6,11481985
Dilsukhnagar,1496,3,4,13,7,2,Semi-Furnished,4,8685681
Shamshabad,882,2,3,20,9,1,Unfurnished,10,4761483
Kondapur,2457,5,5,19,15,0,Semi-Furnished,2,18384869
Banjara Hills,674,2,3,6,17,1,Furnished,4,6817881
Uppal,2149,4,4,15,6,2,Semi-Furnished,1,9604648
Banjara Hills,1851,3,3,2,6,0,Furnished,8,14909192
Miyapur,1286,3,3,28,5,2,Semi-Furnished,3,6682084
Dilsukhnagar,1783,3,3,22,12,1,Furnished,1,10815341
Secunderabad,1749,3,4,3,17,1,Semi-Furnished,9,12560247
Begumpet,1986,4,4,22,4,0,Semi-Furnished,9,13746357
Kukatpally,1216,2,3,10,13,2,Unfurnished,7,9041458
Kokapet,2144,4,4,12,13,1,Semi-Furnished,1,14430000
Banjara Hills,1322,2,3,11,24,1,Unfurnished,4,12405811
Jubilee Hills,1257,2,3,8,7,1,Unfurnished,7,10118023
Dilsukhnagar,1791,3,4,18,15,1,Semi-Furnished,8,10825357
Dilsukhnagar,1824,3,4,13,5,1,Unfurnished,1,10574750
Dilsukhnagar,1538,3,3,4,24,2,Unfurnished,1,9115416
Uppal,1088,2,2,3,6,1,Semi-Furnished,2,5317442
Shamshabad,785,2,3,14,3,1,Furnished,6,3921578
Miyapur,757,2,2,29,22,0,Semi-Furnished,5,4353016
Hitech City,423,1,1,21,14,1,Semi-Furnished,10,3712208
Narsingi,1507,3,4,16,3,1,Unfurnished,4,10508834
Banjara Hills,1825,3,3,27,12,2,Semi-Furnished,10,17352092
Ameerpet,1819,3,3,17,20,1,Unfurnished,3,10443371
Hitech City,1397,3,3,16,7,1,Furnished,5,12746041
Kokapet,2049,3,4,16,15,1,Semi-Furnished,5,13465208
Banjara Hills,1055,2,2,26,5,2,Unfurnished,7,9018130
Begumpet,713,2,3,9,24,1,Furnished,7,5916003
Manikonda,1469,3,3,8,19,1,Semi-Furnished,6,9557473
Narsingi,1282,3,4,15,11,1,Semi-Furnished,5,8348987
Hitech City,2614,5,6,21,13,2,Unfurnished,5,22511030
Kokapet,2333,4,5,14,20,2,Semi-Furnished,8,15006441
Kukatpally,2161,4,4,1,16,2,Semi-Furnished,6,16298528
Financial District,1787,3,4,0,24,1,Semi-Furnished,2,16980735
Gachibowli,2142,4,4,4,18,1,Semi-Furnished,2,18014323
Begumpet,1572,3,3,26,22,1,Furnished,6,11690825
Gachibowli,1215,2,2,12,0,1,Semi-Furnished,7,10669512
Kokapet,1253,3,3,15,23,1,Furnished,8,9246769
Dilsukhnagar,1298,2,2,0,5,2,Semi-Furnished,10,7909335
Shamshabad,1321,2,2,9,13,1,Furnished,7,6960298
Kokapet,2211,4,4,9,4,0,Unfurnished,6,15940001
Gachibowli,1529,3,3,1,9,2,Semi-Furnished,10,14680199
Kompally,1811,3,4,17,13,2,Semi-Furnished,3,10300773
Begumpet,2013,4,4,6,13,2,Unfurnished,1,13401854
Kondapur,1785,3,3,12,15,0,Unfurnished,9,12516999
Narsingi,1626,3,3,19,9,2,Furnished,8,12702921
Dilsukhnagar,1122,3,3,14,6,1,Furnished,3,6964667
Narsingi,1303,2,2,11,21,2,Furnished,3,10022279
Financial District,724,1,1,7,21,1,Unfurnished,3,6529265
Hitech City,1830,3,3,11,8,1,Unfurnished,4,15744359
Manikonda,1175,2,3,27,20,1,Unfurnished,6,6070255
Gachibowli,1588,3,3,28,13,1,Semi-Furnished,8,12601155
Kompally,870,2,3,18,24,1,Unfurnished,3,4830364
Begumpet,1641,3,4,4,4,1,Unfurnished,10,11730206
Miyapur,1943,3,4,8,3,1,Semi-Furnished,4,10612677
Madhapur,2287,4,4,15,9,2,Semi-Furnished,4,20767425
Dilsukhnagar,2143,3,4,15,14,1,Semi-Furnished,6,11377170
Madhapur,1486,3,3,23,4,1,Furnished,2,12174259
Dilsukhnagar,2030,4,4,10,0,1,Semi-Furnished,5,10795307
Ameerpet,2462,4,4,17,21,1,Furnished,3,14901897
Narsingi,2516,5,6,0,10,1,Unfurnished,5,16326368
Kondapur,1983,3,3,10,3,1,Furnished,9,14855905
Gachibowli,1214,2,3,20,21,2,Unfurnished,10,11149921
Miyapur,2136,4,4,7,16,1,Unfurnished,9,12636109
Madhapur,1530,3,3,9,15,1,Furnished,8,14772165
LB Nagar,2586,4,4,26,17,0,Unfurnished,3,11551655
Secunderabad,1860,3,3,7,15,1,Semi-Furnished,7,13362664
Kondapur,1369,3,3,29,21,1,Semi-Furnished,3,9983338
Begumpet,1047,2,3,22,5,0,Semi-Furnished,4,7114200
Narsingi,1155,2,2,1,15,1,Furnished,7,9288318
Kondapur,1295,2,3,19,1,1,Furnished,9,10484009
Ameerpet,3096,5,5,27,21,1,Semi-Furnished,6,17980640
Jubilee Hills,1901,3,3,17,20,1,Furnished,8,19180780
Miyapur,978,2,2,9,24,2,Semi-Furnished,1,5956242
Kokapet,1630,3,3,3,16,2,Furnished,4,13444519
Kondapur,2033,3,3,29,0,1,Furnished,5,13604888
Manikonda,1945,3,3,2,23,1,Unfurnished,3,10530271
Kompally,497,1,1,19,23,1,Unfurnished,5,2707503
Narsingi,1995,3,3,15,13,2,Semi-Furnished,6,14135086
Kompally,939,2,3,10,12,1,Semi-Furnished,1,5473858
Narsingi,831,2,2,21,19,1,Semi-Furnished,7,6366832
LB Nagar,2403,4,4,15,0,1,Semi-Furnished,9,10618203
Kukatpally,964,2,2,27,11,1,Unfurnished,5,6069060
Begumpet,1999,4,4,17,1,1,Semi-Furnished,4,14995943
Begumpet,1718,3,3,29,11,0,Semi-Furnished,4,12892041
Miyapur,1779,3,3,21,21,1,Unfurnished,10,9434702
Gachibowli,871,2,2,20,12,2,Furnished,8,8332533
Hitech City,1432,3,4,15,17,1,Unfurnished,10,12922300
Begumpet,1337,2,2,17,3,1,Unfurnished,10,9542838
Miyapur,1729,3,3,24,23,1,Semi-Furnished,3,9819805
Manikonda,2471,4,4,15,21,1,Furnished,8,14656856
Financial District,2301,4,5,9,2,2,Furnished,10,20613361
Financial District,2314,4,5,1,11,1,Unfurnished,7,19367048
Gachibowli,1521,3,3,7,11,1,Unfurnished,5,12813328
Kompally,2420,4,4,20,8,1,Unfurnished,9,13871747
Narsingi,1792,3,3,28,18,1,Semi-Furnished,10,11714816
Hitech City,1652,3,4,17,22,1,Unfurnished,4,13878565
LB Nagar,2444,5,5,0,23,2,Semi-Furnished,2,11405183
Uppal,1801,3,3,10,0,2,Furnished,5,8152422
Shamshabad,1444,3,4,13,11,1,Semi-Furnished,2,6594621
Secunderabad,1636,3,3,5,20,1,Unfurnished,9,10958552
Ameerpet,2504,4,4,7,13,1,Semi-Furnished,8,14543909
Madhapur,1244,2,2,29,4,1,Semi-Furnished,7,10341777
Ameerpet,323,1,1,9,21,1,Semi-Furnished,9,2616887
Kukatpally,2431,4,5,2,3,2,Unfurnished,1,16380615
Narsingi,1050,2,2,22,5,2,Unfurnished,8,7410255
Kokapet,2312,4,4,6,17,1,Furnished,5,15707214
Hitech City,1724,3,3,27,17,2,Unfurnished,8,15158610
Banjara Hills,481,1,1,12,8,1,Semi-Furnished,1,4365156
Kondapur,1523,3,4,3,17,1,Semi-Furnished,10,11793966
Gachibowli,1654,3,4,3,23,2,Unfurnished,10,15515840
Kondapur,1218,3,3,3,14,1,Furnished,6,9065521
Manikonda,2788,5,6,24,15,1,Unfurnished,7,16526440
Banjara Hills,1533,3,4,15,18,2,Semi-Furnished,10,15075640
Dilsukhnagar,2243,4,5,24,17,0,Furnished,10,12417396
Dilsukhnagar,1485,3,4,7,12,1,Semi-Furnished,9,9007297
Banjara Hills,1375,3,4,6,12,1,Furnished,10,13985551
Kokapet,1542,3,3,22,24,1,Furnished,8,10714988
Jubilee Hills,1750,3,4,15,7,1,Semi-Furnished,4,15528208
Kukatpally,1010,2,2,17,17,1,Unfurnished,10,7291059
Secunderabad,991,2,3,13,18,1,Furnished,6,8285984
Gachibowli,2328,4,4,5,7,1,Semi-Furnished,2,20279682
Uppal,1087,2,2,12,20,0,Semi-Furnished,9,5098089
Gachibowli,1860,3,4,3,11,1,Furnished,2,17633087
Kompally,1993,4,5,23,23,1,Unfurnished,8,11793194
Hitech City,1217,2,2,25,18,1,Unfurnished,8,8711895
Shamshabad,1216,2,3,18,12,2,Furnished,10,6353554
Jubilee Hills,676,1,1,1,13,1,Unfurnished,2,6692406
Kompally,1087,2,2,20,21,2,Semi-Furnished,4,5860755
Shamshabad,1674,3,3,2,14,1,Unfurnished,7,8144770
Gachibowli,1062,2,2,16,13,2,Furnished,5,9960351
Miyapur,1732,3,4,18,11,0,Furnished,6,9963190
Hitech City,1668,3,3,23,21,1,Semi-Furnished,10,14514189
Miyapur,1988,4,4,11,21,1,Semi-Furnished,2,12243917
LB Nagar,2069,4,5,19,12,0,Furnished,1,8938759
Gachibowli,895,2,3,28,2,0,Semi-Furnished,9,7738237
Manikonda,2414,4,5,3,1,1,Unfurnished,6,11259658
Jubilee Hills,2079,4,4,17,7,1,Semi-Furnished,6,18762007
Shamshabad,2301,4,4,13,3,2,Unfurnished,4,11032198
Jubilee Hills,1661,3,3,24,14,1,Furnished,6,15087380
Uppal,300,1,2,27,11,2,Furnished,1,1789828
Begumpet,1148,2,2,22,1,1,Semi-Furnished,6,7064473
Shamshabad,697,2,2,0,13,1,Unfurnished,7,3776892
Kompally,1490,3,3,7,1,1,Furnished,8,9203749
Ameerpet,1341,2,3,5,8,1,Furnished,8,8266137
Secunderabad,2116,3,3,23,19,1,Unfurnished,7,14170823
LB Nagar,1978,3,4,13,17,1,Furnished,4,8573457
Kokapet,414,2,2,27,20,1,Semi-Furnished,3,2745648
Narsingi,1192,2,2,18,15,1,Unfurnished,1,8269894
Shamshabad,1628,3,3,18,8,1,Unfurnished,3,7588599
Kompally,2482,4,4,18,15,1,Semi-Furnished,7,14718747
Miyapur,842,2,2,20,15,1,Semi-Furnished,4,4834267
Manikonda,1813,3,4,10,2,1,Furnished,5,10068033
Shamshabad,1145,2,3,5,14,1,Semi-Furnished,7,5750144
Madhapur,1441,3,3,9,2,1,Furnished,8,14103094
Jubilee Hills,1526,3,4,19,20,1,Furnished,3,13190700
Madhapur,2557,5,5,24,6,1,Unfurnished,4,19706948
Financial District,1188,2,3,12,8,0,Semi-Furnished,1,10108007
Dilsukhnagar,1656,3,4,21,13,2,Unfurnished,4,9248296
LB Nagar,1642,3,4,8,11,1,Semi-Furnished,10,7680894
Financial District,2742,5,5,19,16,2,Semi-Furnished,10,25586545
Kompally,1488,3,4,19,13,1,Semi-Furnished,6,8928781
Ameerpet,1183,2,3,3,16,1,Unfurnished,7,7100641
Kompally,2375,4,5,17,18,1,Furnished,10,13181367
Dilsukhnagar,2806,5,5,1,7,1,Semi-Furnished,7,18110226
LB Nagar,1523,3,3,25,0,1,Semi-Furnished,5,6416613
Kokapet,1702,3,3,14,11,2,Unfurnished,6,11532910
Dilsukhnagar,1686,3,4,29,24,1,Furnished,2,9080376
Manikonda,1296,3,4,3,0,1,Unfurnished,8,9193793
Gachibowli,1533,3,4,6,23,0,Furnished,1,14469503
Banjara Hills,839,2,2,15,20,1,Furnished,9,7503422
Kompally,998,2,2,3,18,2,Furnished,10,6805534
Manikonda,1563,3,3,11,22,2,Semi-Furnished,2,8812011
Miyapur,2000,4,5,7,23,1,Unfurnished,6,10579674
Dilsukhnagar,1412,3,3,17,22,1,Unfurnished,8,8995454
Kompally,2016,4,4,12,1,1,Unfurnished,4,10935218
Madhapur,769,2,2,8,5,1,Semi-Furnished,7,7658014
Kokapet,1898,3,3,26,6,1,Unfurnished,10,13514901
Madhapur,1555,3,3,6,24,1,Semi-Furnished,9,13707002
Kokapet,1579,3,3,9,1,1,Unfurnished,6,11549250
Secunderabad,1021,2,2,7,6,1,Semi-Furnished,8,7527086
Kompally,1082,2,2,29,14,2,Semi-Furnished,3,5804914
Narsingi,931,2,2,22,10,0,Semi-Furnished,8,6830616
Miyapur,1973,4,5,19,16,1,Unfurnished,10,10822218
Jubilee Hills,1855,3,3,23,20,1,Semi-Furnished,8,15691331
Narsingi,1082,2,2,23,8,1,Semi-Furnished,10,8628462
Miyapur,1693,3,4,29,11,1,Furnished,6,9821092
Madhapur,2394,4,4,20,16,0,Furnished,7,20334727
Kondapur,1977,4,5,20,22,1,Unfurnished,7,12923447
Uppal,1953,3,3,11,22,1,Furnished,2,9465517
Shamshabad,556,1,1,8,8,1,Semi-Furnished,6,2986328
Manikonda,826,2,2,3,20,1,Semi-Furnished,6,5322621
Shamshabad,1048,2,2,11,16,1,Unfurnished,7,5519351
Madhapur,1635,3,3,12,21,1,Semi-Furnished,2,16558363
Hitech City,1620,3,3,17,14,2,Semi-Furnished,6,14849835
Kompally,1039,2,3,8,4,1,Furnished,9,6816155
Hitech City,2154,4,5,25,7,1,Unfurnished,7,18695020
Narsingi,2224,4,4,13,14,1,Unfurnished,5,14108274
Jubilee Hills,1964,3,4,8,3,1,Semi-Furnished,1,16931625
Miyapur,1302,2,2,11,18,1,Furnished,2,7238523
Kukatpally,1807,4,5,19,19,1,Unfurnished,10,13773034
Uppal,1620,3,3,12,8,1,Unfurnished,6,7783986
Secunderabad,1823,3,3,16,19,1,Semi-Furnished,3,12028686
Shamshabad,1610,3,4,12,6,1,Furnished,6,7828931
Jubilee Hills,1522,3,3,21,9,1,Unfurnished,7,13837061
Dilsukhnagar,514,1,2,29,4,2,Semi-Furnished,3,2811633
Narsingi,1323,2,3,17,17,2,Unfurnished,9,8933043
Hitech City,1622,3,3,9,19,2,Semi-Furnished,2,14973518
Miyapur,1565,3,4,1,22,1,Semi-Furnished,3,9539822
LB Nagar,2068,4,4,29,19,0,Furnished,8,9125267
Miyapur,1621,3,4,24,21,1,Semi-Furnished,4,9850241
Manikonda,1214,2,3,20,20,1,Unfurnished,5,6526627
Secunderabad,1757,3,3,0,4,1,Semi-Furnished,9,13664703
Manikonda,1528,3,3,5,14,1,Semi-Furnished,10,8919615
Uppal,2797,5,5,24,21,0,Unfurnished,4,12576426
Begumpet,1306,2,3,10,0,1,Semi-Furnished,6,8988751
Kukatpally,332,1,2,15,10,2,Furnished,2,3255264
Dilsukhnagar,1402,2,2,10,24,1,Furnished,6,8599961
Ameerpet,1842,3,3,9,1,1,Semi-Furnished,4,11100715
Secunderabad,1666,3,3,13,20,0,Furnished,2,12745977
Uppal,1802,4,4,14,19,0,Semi-Furnished,10,9240314
Narsingi,1153,2,2,17,17,2,Unfurnished,2,8520352
Secunderabad,1846,4,4,4,16,2,Semi-Furnished,3,13167599
Jubilee Hills,1505,3,3,24,17,0,Furnished,8,14970404
Manikonda,1822,3,4,2,18,2,Semi-Furnished,4,11511326
LB Nagar,1940,3,3,23,2,1,Unfurnished,4,7434244
Banjara Hills,2112,4,4,15,11,1,Unfurnished,2,19564391
Financial District,2841,5,6,19,19,1,Unfurnished,9,27988505
Dilsukhnagar,1584,3,4,12,13,2,Unfurnished,2,8941904
Financial District,1592,2,2,13,14,1,Semi-Furnished,2,13809609
Dilsukhnagar,1529,3,3,3,19,1,Unfurnished,7,9455559
Jubilee Hills,2503,4,4,10,22,1,Semi-Furnished,3,23646918
Ameerpet,1201,2,3,24,19,0,Furnished,1,6601802
Kondapur,1561,3,3,18,4,1,Semi-Furnished,10,11605875
Kokapet,1561,3,4,21,10,1,Semi-Furnished,10,10285594
Uppal,1994,4,4,29,8,1,Semi-Furnished,10,9440301
Miyapur,1886,4,4,5,4,0,Semi-Furnished,4,11261411
Secunderabad,2223,4,5,6,5,1,Furnished,1,17522659
Begumpet,1424,3,3,22,2,1,Furnished,4,10191149
Kokapet,1663,3,3,28,9,0,Furnished,7,12338004
Hitech City,2669,4,4,0,14,1,Furnished,3,21916187
Dilsukhnagar,1418,2,2,21,12,2,Semi-Furnished,4,7706887
Dilsukhnagar,2294,4,4,23,8,1,Semi-Furnished,5,12991513
Banjara Hills,2352,4,4,0,4,2,Furnished,10,22574591
Hitech City,1482,3,3,6,16,1,Semi-Furnished,5,13279542
Kompally,1123,2,2,26,16,1,Furnished,3,5654596
Jubilee Hills,300,1,1,8,6,1,Furnished,3,3406176
LB Nagar,1443,3,3,20,7,2,Unfurnished,7,5754377
Miyapur,1606,3,4,14,2,1,Furnished,8,10590887
Kondapur,1773,3,4,5,22,1,Semi-Furnished,3,12511120
Ameerpet,1900,3,3,9,0,0,Semi-Furnished,9,11708103
Dilsukhnagar,2525,4,5,4,23,1,Unfurnished,3,14630477
Financial District,481,1,2,25,13,2,Furnished,8,5072238
Ameerpet,859,2,3,1,23,1,Furnished,6,6042376
Narsingi,894,2,2,8,11,0,Furnished,9,7045764
Manikonda,1888,3,3,14,4,2,Unfurnished,4,10365819
Narsingi,661,2,2,13,16,1,Semi-Furnished,10,5204704
Kompally,1797,3,3,9,19,1,Unfurnished,9,9188644
Kompally,1300,2,2,25,7,1,Unfurnished,10,7912632
Secunderabad,1542,3,4,7,0,1,Semi-Furnished,5,10967138
Ameerpet,2673,4,4,4,0,2,Furnished,6,15817036
Manikonda,2647,5,5,16,16,0,Semi-Furnished,3,15713996
Narsingi,2036,3,3,22,12,2,Unfurnished,7,13891170
Kompally,1848,3,3,12,2,0,Semi-Furnished,6,10691445
Kokapet,2176,3,3,18,12,2,Semi-Furnished,5,15148337
Uppal,2310,4,4,23,6,1,Furnished,1,10562764
Miyapur,1275,2,2,22,14,1,Unfurnished,5,6306038
Manikonda,1126,2,2,15,22,1,Semi-Furnished,7,6347506
Gachibowli,1491,3,4,18,13,2,Unfurnished,8,14033421
Kukatpally,1382,3,3,20,20,1,Unfurnished,2,9867694
LB Nagar,625,1,1,0,1,1,Unfurnished,2,2804779
Miyapur,1187,2,2,20,22,1,Semi-Furnished,8,6601115
Begumpet,1274,2,3,20,16,2,Furnished,5,10007392
Secunderabad,2002,4,4,13,13,0,Furnished,4,14181637
Banjara Hills,912,2,2,26,15,1,Unfurnished,6,7590552
Manikonda,2145,4,4,21,4,1,Unfurnished,3,11586303
Miyapur,519,1,1,9,17,0,Unfurnished,3,2953107
Kompally,1878,4,4,16,7,2,Unfurnished,10,11142841
Kondapur,1976,3,4,28,11,1,Unfurnished,2,12939628
Narsingi,1475,3,3,28,3,1,Semi-Furnished,2,10768906
Financial District,1644,3,3,22,19,1,Semi-Furnished,7,14733995
Shamshabad,1636,3,4,8,5,0,Furnished,10,8213469
Kondapur,1554,3,4,25,3,0,Furnished,1,11279786
Narsingi,1459,2,3,11,20,1,Furnished,1,11517068
Uppal,1683,3,4,28,3,1,Semi-Furnished,4,7033615
Secunderabad,2756,5,5,14,1,1,Furnished,6,21047820
Financial District,1268,2,3,2,12,1,Furnished,2,13252941
Begumpet,1684,3,3,3,19,1,Semi-Furnished,1,12075458
Shamshabad,1346,3,3,16,20,1,Semi-Furnished,6,6163419
Manikonda,1714,3,4,27,12,1,Semi-Furnished,1,9281524
Kukatpally,2159,4,4,14,13,0,Semi-Furnished,4,14188975
Gachibowli,1779,3,3,25,20,1,Furnished,5,15887724
Manikonda,1097,2,2,17,13,1,Semi-Furnished,1,6419644
Ameerpet,1035,2,2,25,13,2,Semi-Furnished,7,6303266
Ameerpet,303,1,2,13,2,1,Unfurnished,7,1720925
Kondapur,2223,4,5,25,7,1,Semi-Furnished,1,14577672
Narsingi,2962,5,5,3,11,1,Semi-Furnished,8,20590409
Hitech City,725,2,2,24,15,0,Unfurnished,10,6206579
Narsingi,1624,3,4,15,22,1,Unfurnished,5,12276314
Shamshabad,795,2,3,25,21,0,Unfurnished,10,3533156
Gachibowli,1673,3,3,6,16,0,Unfurnished,3,14838806
Gachibowli,747,2,3,2,6,1,Semi-Furnished,2,7424014
Kompally,1115,2,2,7,20,2,Semi-Furnished,1,7208549
Kondapur,1980,4,5,14,5,1,Semi-Furnished,8,14167786
Secunderabad,2451,4,5,4,18,1,Unfurnished,5,16728368
Gachibowli,2165,4,4,17,22,1,Unfurnished,4,18892559
Kukatpally,1593,3,3,27,15,1,Unfurnished,7,9703569
Ameerpet,1737,3,3,27,12,2,Unfurnished,8,10111195
Miyapur,1551,3,4,6,9,1,Unfurnished,9,9009707
Begumpet,1523,3,3,16,9,1,Furnished,5,10933242
Secunderabad,1318,2,2,16,18,0,Unfurnished,9,8485223
Banjara Hills,2507,5,5,26,16,1,Semi-Furnished,2,21490579
Jubilee Hills,960,2,2,24,8,1,Semi-Furnished,9,8488088
Kondapur,1622,3,4,6,18,2,Furnished,5,12363027
Dilsukhnagar,2040,3,4,29,1,1,Semi-Furnished,8,11688090
Banjara Hills,1720,3,4,15,10,1,Semi-Furnished,7,14680005
Jubilee Hills,1503,3,3,28,2,0,Unfurnished,5,12388532
Begumpet,581,2,2,20,20,2,Furnished,2,4660333
Shamshabad,1447,3,4,18,16,1,Furnished,1,6456530
Miyapur,1117,2,2,12,3,2,Semi-Furnished,9,6302762
Banjara Hills,2039,4,4,10,12,2,Semi-Furnished,9,18500480
Manikonda,1936,3,4,9,13,1,Unfurnished,10,11208251
Kondapur,300,1,1,12,8,2,Semi-Furnished,9,2583681
Kondapur,1868,4,5,11,8,2,Unfurnished,3,14762115
Kukatpally,1506,3,3,7,22,1,Furnished,6,11921637
Financial District,1307,2,3,11,15,1,Furnished,8,11513748
